temperature,rainfall,humidity,ph,nitrogen,phosphorus,potassium,light_intensity,soil_type,season
21.0,689.5,99.8,6.4,109.9,149.6,103.5,141.9,Sandy Loam,Spring
19.3,756.3,99.3,6.2,111.4,163.6,98.0,134.0,Sandy Loam,Fall
18.5,658.4,99.0,6.5,109.4,161.5,91.8,134.8,Sandy Loam,Spring
19.9,689.9,99.1,6.5,115.7,165.4,84.3,133.3,Sandy Loam,Fall
20.1,783.3,98.6,6.3,124.8,152.5,99.6,129.5,Sandy Loam,Spring
20.0,693.6,99.3,6.8,115.7,163.3,105.3,114.5,Sandy Loam,Fall
18.9,667.4,99.8,6.5,127.8,158.0,100.4,122.7,Sandy Loam,Fall
19.6,675.3,99.0,6.7,109.7,160.4,93.5,114.4,Sandy Loam,Spring
18.7,696.5,99.3,6.8,118.6,167.5,100.1,127.7,Sandy Loam,Spring
19.0,735.1,99.5,6.8,116.6,172.6,97.1,124.7,Sandy Loam,Fall
18.5,766.1,98.6,6.3,115.4,160.0,109.9,124.4,Sandy Loam,Fall
19.8,930.6,57.0,6.5,103.3,110.9,155.5,457.6,Loam,Winter
19.0,838.9,52.7,6.5,99.8,97.6,163.0,396.2,Loam,Winter
18.7,873.1,52.8,6.2,99.7,91.4,171.2,253.7,Loam,Summer
19.6,717.3,55.5,6.6,99.6,96.8,160.7,447.8,Loam,Spring
19.8,951.1,54.7,6.6,104.1,100.5,160.5,403.3,Loam,Summer
19.0,829.9,55.8,6.3,102.6,94.2,163.7,346.3,Loam,Summer
18.2,910.4,54.4,6.4,93.9,106.2,153.3,435.1,Loam,Spring
19.8,1027.5,51.7,6.5,97.4,103.1,164.5,415.4,Loam,Winter
18.5,749.0,54.6,6.5,102.4,95.8,157.9,371.9,Loam,Winter
20.0,794.0,58.5,6.6,106.0,113.6,162.7,465.4,Loam,Winter
19.1,742.8,57.5,6.7,97.7,101.7,154.1,342.8,Loam,Winter
18.6,911.0,57.5,6.5,97.3,101.1,171.7,432.8,Loam,Fall
19.5,896.1,53.0,6.3,109.7,86.9,158.6,272.1,Loam,Spring
19.7,821.1,53.6,6.4,100.0,101.8,148.8,358.7,Loam,Spring
19.5,811.6,53.5,6.7,89.2,107.1,151.3,384.8,Loam,Winter
19.8,915.2,57.1,6.4,99.2,97.6,166.6,421.6,Loam,Summer
19.4,876.8,58.2,6.4,100.7,93.4,149.6,387.8,Loam,Summer
19.6,782.7,54.1,6.5,105.9,96.3,163.4,404.6,Loam,Spring
19.9,736.8,57.0,6.5,94.5,105.3,155.0,354.6,Loam,Summer
19.7,914.0,55.0,6.6,99.0,112.3,152.3,321.2,Loam,Summer
20.7,874.3,53.8,6.7,90.1,99.5,155.5,381.2,Loam,Summer
19.0,859.4,51.1,6.2,91.5,91.5,160.7,454.0,Loam,Fall
19.7,721.9,53.8,6.5,94.9,94.7,172.4,423.0,Loam,Winter
19.2,840.1,52.2,6.2,109.2,101.6,157.8,197.2,Loam,Fall
19.8,904.1,57.7,6.7,103.0,102.0,154.3,510.4,Loam,Winter
20.3,888.5,53.5,6.5,112.5,118.2,160.2,498.1,Loam,Fall
18.9,905.8,55.6,6.5,102.5,100.0,161.6,372.5,Loam,Spring
19.2,808.6,52.0,6.7,102.6,109.9,168.9,444.9,Loam,Winter
19.3,773.3,56.8,6.4,104.5,97.4,169.6,372.0,Loam,Summer
19.0,776.0,52.4,6.2,104.6,109.0,157.3,314.8,Loam,Spring
19.6,741.0,55.0,6.2,111.1,102.0,160.7,337.1,Loam,Summer
18.6,844.6,56.5,6.3,105.9,101.3,172.5,319.1,Loam,Winter
19.0,785.0,56.1,6.2,94.5,109.6,154.7,420.4,Loam,Spring
19.9,783.4,52.0,6.5,105.6,94.2,164.0,456.5,Loam,Summer
19.1,714.6,57.9,6.7,110.7,95.7,153.6,322.3,Loam,Fall
19.3,1001.7,57.0,6.5,96.2,99.7,151.5,456.2,Loam,Summer
18.7,875.0,55.2,6.4,99.7,94.8,156.4,418.5,Loam,Spring
19.9,886.0,54.1,6.4,97.9,105.7,166.5,453.9,Loam,Summer
19.1,1042.7,56.2,6.8,91.9,101.1,153.0,415.2,Loam,Fall
19.7,701.3,55.5,6.8,90.5,114.1,150.9,473.6,Loam,Fall
20.1,685.8,54.3,6.5,103.4,93.2,154.3,320.5,Loam,Winter
19.7,771.1,55.1,6.1,101.9,98.6,165.9,488.4,Loam,Spring
19.4,916.1,56.4,6.5,99.9,93.7,170.1,321.3,Loam,Fall
19.1,803.3,55.0,6.5,99.6,106.9,174.4,406.1,Loam,Fall
20.0,842.1,55.2,6.5,91.9,87.2,155.5,433.5,Loam,Spring
18.5,740.4,81.3,6.8,155.4,71.1,187.0,407.4,Loam,Spring
19.3,739.6,68.0,7.1,140.2,71.7,193.9,398.5,Loam,Summer
21.5,787.8,69.4,7.2,151.3,65.2,190.5,256.3,Loam,Fall
17.5,769.4,76.0,7.1,154.7,72.6,188.1,504.8,Loam,Summer
19.3,747.7,65.0,6.9,144.5,87.9,188.7,482.5,Loam,Summer
21.2,912.9,71.4,6.9,142.9,62.5,189.5,445.1,Loam,Spring
21.9,673.7,73.4,6.8,124.9,64.0,192.9,459.1,Loam,Fall
19.2,790.9,72.9,6.6,140.3,70.7,194.1,302.6,Loam,Summer
19.3,750.6,70.6,6.6,140.2,68.6,190.8,356.8,Loam,Summer
21.6,728.3,82.8,6.4,145.3,81.9,188.7,411.4,Loam,Summer
16.9,811.7,78.2,6.6,149.1,88.4,185.1,365.8,Loam,Fall
19.0,859.4,77.4,6.5,144.5,73.3,186.7,518.6,Loam,Spring
18.9,786.6,71.8,6.6,137.7,74.9,190.7,401.2,Loam,Summer
19.3,831.0,78.8,6.6,156.2,65.5,186.5,285.6,Loam,Spring
20.1,675.6,71.9,6.8,129.3,74.8,192.9,489.6,Loam,Spring
21.4,854.9,64.0,7.2,134.2,65.8,188.1,467.3,Loam,Summer
19.1,661.8,73.5,7.2,132.3,72.1,192.7,426.5,Loam,Summer
19.2,806.3,79.5,7.2,132.7,65.6,191.0,351.1,Loam,Fall
20.3,733.1,77.1,6.5,145.6,80.4,194.0,335.7,Loam,Spring
16.6,711.0,78.7,7.2,125.2,77.8,187.4,435.2,Loam,Summer
20.2,760.2,67.6,6.1,141.7,86.8,192.7,418.4,Loam,Spring
20.7,723.0,77.8,6.5,141.1,77.9,186.1,458.1,Loam,Summer
16.5,695.5,66.3,6.6,136.3,75.2,191.3,407.0,Loam,Fall
17.5,522.0,75.0,6.9,129.0,85.3,186.5,506.1,Loam,Fall
21.3,936.5,82.7,6.6,145.3,62.6,187.1,440.2,Loam,Summer
21.0,814.2,76.4,6.9,139.6,71.7,192.8,431.4,Loam,Summer
19.3,735.9,77.8,7.5,137.0,71.6,182.4,406.0,Loam,Summer
17.5,759.2,84.4,5.9,141.1,77.6,195.7,363.9,Loam,Fall
21.4,748.9,81.0,6.8,126.3,77.7,192.7,293.2,Loam,Summer
18.5,854.8,76.1,6.8,144.4,60.6,190.1,209.2,Loam,Fall
16.7,769.4,75.0,6.8,129.6,81.6,192.3,410.4,Loam,Spring
18.7,740.4,70.6,6.7,133.3,64.2,192.8,408.4,Loam,Summer
20.7,693.5,69.7,6.8,131.1,67.3,187.3,321.4,Loam,Spring
20.3,850.8,77.1,6.6,146.8,64.7,189.1,412.4,Loam,Spring
19.1,797.8,77.3,6.4,151.0,64.2,191.5,402.5,Loam,Fall
20.1,880.8,77.3,6.9,139.9,83.4,190.9,341.8,Loam,Fall
19.1,576.9,80.4,7.1,157.1,71.7,187.8,390.4,Loam,Fall
17.9,903.9,81.3,6.7,142.3,77.7,191.8,543.4,Loam,Summer
20.4,906.1,74.8,6.4,133.2,73.8,198.8,317.4,Loam,Spring
19.5,683.8,78.3,6.5,129.8,85.7,185.6,426.7,Loam,Summer
17.8,835.9,69.7,6.6,136.3,73.1,193.4,410.1,Loam,Fall
18.8,659.2,75.2,6.6,161.3,82.3,193.5,435.5,Loam,Spring
19.3,797.4,76.6,6.6,136.6,80.1,187.8,515.3,Loam,Fall
17.3,679.1,63.7,6.5,153.1,78.4,190.4,537.6,Loam,Fall
20.0,712.8,71.2,6.3,142.3,69.9,191.1,447.9,Loam,Fall
19.2,630.6,54.7,6.8,154.8,93.4,182.0,304.2,Loam,Winter
19.2,664.0,55.2,6.5,145.8,81.9,192.5,365.9,Loam,Winter
18.3,847.2,56.5,6.5,144.1,78.6,182.9,493.9,Loam,Winter
14.5,946.2,52.1,6.5,127.2,66.9,186.9,372.4,Loam,Winter
19.5,803.2,53.9,6.2,132.2,69.6,187.3,379.5,Loam,Fall
13.6,942.8,53.2,6.8,136.6,85.3,188.0,453.8,Loam,Fall
19.5,855.6,55.2,6.4,153.0,58.2,190.2,407.7,Loam,Winter
16.1,872.2,55.0,6.7,137.1,82.2,190.6,372.4,Loam,Winter
20.2,982.2,57.4,6.5,142.9,67.9,186.0,421.8,Loam,Fall
19.4,991.7,56.2,6.6,145.2,62.5,190.2,523.3,Loam,Fall
21.3,733.6,55.2,6.6,135.2,69.2,194.0,418.3,Loam,Fall
22.2,795.9,53.9,6.4,135.6,91.1,187.8,399.9,Loam,Winter
18.8,901.4,54.9,6.5,143.0,82.3,194.5,383.0,Loam,Fall
18.8,982.2,59.3,6.6,139.4,64.1,188.2,413.8,Loam,Winter
13.1,803.3,55.1,6.6,140.8,62.4,187.2,443.1,Loam,Winter
14.6,865.0,56.1,6.9,148.8,72.4,194.1,373.7,Loam,Fall
11.0,934.3,52.4,6.6,133.5,63.0,193.5,235.0,Loam,Fall
18.4,826.5,56.5,6.5,132.3,72.4,191.3,494.1,Loam,Winter
16.9,768.0,55.5,6.5,134.6,82.1,189.8,367.8,Loam,Winter
18.0,1023.5,54.0,6.2,133.7,68.2,191.5,522.8,Loam,Fall
18.4,951.7,54.0,6.7,140.1,75.7,191.7,322.5,Loam,Fall
16.9,742.8,54.0,6.4,141.2,87.0,189.9,416.5,Loam,Fall
19.7,737.0,53.0,6.5,149.2,67.1,187.5,449.5,Loam,Fall
23.1,841.0,55.3,6.7,138.3,76.8,195.6,430.0,Loam,Winter
16.2,927.4,57.0,6.1,140.9,90.8,184.0,357.5,Loam,Fall
16.1,823.1,55.1,6.4,139.2,65.1,182.9,468.4,Loam,Winter
18.7,1059.9,55.0,6.7,136.9,77.9,190.8,497.9,Loam,Fall
15.3,916.1,56.9,6.4,139.2,98.1,186.7,296.6,Loam,Winter
19.1,843.4,53.6,6.3,129.1,67.1,198.1,414.7,Loam,Fall
19.2,941.8,55.0,6.4,127.2,86.4,186.9,491.0,Loam,Fall
16.4,875.5,54.3,6.3,147.0,67.1,190.9,407.6,Loam,Fall
17.5,890.1,55.9,6.7,138.3,74.8,189.1,253.4,Loam,Winter
17.8,908.0,53.9,6.7,136.1,71.4,187.9,489.6,Loam,Fall
20.9,864.5,56.0,6.6,144.3,75.8,194.7,297.6,Loam,Winter
17.5,930.6,56.6,6.6,138.1,77.6,196.2,224.7,Loam,Fall
18.4,787.4,51.4,6.4,143.7,71.4,184.9,414.3,Loam,Winter
17.7,735.2,56.8,6.5,134.4,87.8,191.4,433.6,Loam,Winter
17.8,869.2,54.3,6.5,145.9,59.7,190.2,415.8,Loam,Winter
19.5,930.2,56.2,6.8,136.1,59.6,189.7,362.6,Loam,Winter
15.6,919.1,53.8,6.7,140.9,82.7,189.9,315.9,Loam,Fall
17.0,872.8,53.1,6.5,126.0,86.7,193.6,520.5,Loam,Winter
16.5,851.9,57.9,6.5,132.9,75.1,196.5,406.0,Loam,Winter
16.5,859.7,55.5,6.8,126.9,83.0,197.4,272.9,Loam,Winter
17.3,762.2,57.1,6.6,154.6,79.7,184.6,429.5,Loam,Fall
16.4,754.2,57.3,6.5,150.4,78.1,193.7,322.2,Loam,Winter
22.1,737.1,44.9,6.5,165.1,256.1,344.4,904.3,Sandy Loam,Fall
21.4,645.6,45.2,6.5,190.2,277.4,390.4,929.0,Sandy Loam,Spring
22.5,709.7,47.4,6.4,149.5,271.4,298.0,939.5,Sandy Loam,Summer
23.8,679.9,44.5,6.5,177.7,277.7,216.5,942.8,Loam,Fall
21.0,669.8,47.1,6.5,167.7,219.8,293.0,929.1,Sandy Loam,Fall
21.5,694.9,44.2,6.5,163.1,184.5,384.7,909.1,Sandy Loam,Summer
25.8,680.6,47.0,6.5,180.7,221.7,333.5,926.7,Loam,Spring
22.4,644.3,47.0,6.6,130.7,214.4,296.4,910.9,Sandy Loam,Summer
21.2,604.7,45.2,6.3,178.7,276.0,312.1,919.7,Loam,Spring
19.6,648.0,43.3,6.5,159.1,266.8,361.1,934.7,Loam,Spring
22.3,698.6,45.1,6.5,156.4,201.7,295.7,921.8,Sandy Loam,Spring
21.0,695.6,44.5,6.3,170.2,174.0,287.2,938.3,Sandy Loam,Summer
22.9,743.1,45.6,6.4,168.1,241.2,320.4,916.8,Loam,Summer
20.9,729.0,41.8,7.0,189.9,256.3,324.4,929.4,Loam,Fall
21.1,719.4,47.0,6.7,170.9,211.3,310.4,917.4,Loam,Fall
23.8,727.2,43.1,6.3,171.0,244.7,313.1,950.8,Sandy Loam,Spring
22.4,738.4,44.3,6.3,165.8,256.9,286.9,948.9,Loam,Summer
23.0,757.8,43.1,6.3,167.8,239.0,287.2,935.3,Sandy Loam,Spring
23.2,677.6,47.4,6.8,161.4,272.0,297.1,974.8,Sandy Loam,Spring
21.5,704.5,43.0,6.6,138.3,245.2,323.4,929.5,Sandy Loam,Spring
20.8,675.9,46.6,6.5,177.5,274.1,321.1,941.1,Loam,Summer
23.8,718.4,41.2,6.4,160.3,205.7,322.5,922.7,Sandy Loam,Summer
20.5,756.3,45.8,6.7,174.3,213.6,307.1,932.5,Loam,Spring
22.5,704.2,46.0,6.4,152.3,208.1,345.4,916.6,Loam,Fall
22.1,697.2,46.2,6.4,148.3,207.4,358.7,901.2,Loam,Spring
22.4,719.0,42.4,6.4,172.1,235.4,341.9,917.8,Loam,Summer
23.2,673.6,44.2,6.8,152.4,251.1,312.8,927.6,Loam,Summer
22.3,599.4,45.7,6.1,176.1,234.8,277.6,947.8,Loam,Summer
22.1,680.5,43.9,6.3,180.9,216.6,297.9,936.6,Sandy Loam,Summer
21.0,690.2,44.7,5.8,155.3,278.2,292.0,907.3,Sandy Loam,Spring
20.5,754.9,43.3,6.5,176.3,270.5,359.7,938.3,Sandy Loam,Summer
22.6,712.6,44.0,6.5,181.7,279.3,266.6,918.6,Loam,Spring
23.1,644.8,47.1,6.6,177.5,229.5,335.8,927.2,Loam,Summer
22.2,702.4,47.5,6.4,149.6,212.7,378.1,967.3,Sandy Loam,Summer
23.3,695.7,45.4,6.7,133.2,258.2,298.5,918.3,Loam,Spring
21.2,731.5,45.0,6.5,171.7,269.5,322.2,931.3,Sandy Loam,Fall
22.9,707.2,44.3,6.7,195.8,255.1,367.2,934.2,Sandy Loam,Summer
18.8,713.5,46.3,6.2,161.8,259.2,264.9,906.6,Sandy Loam,Summer
20.5,699.9,40.9,6.7,165.5,241.0,258.5,935.3,Sandy Loam,Summer
25.1,688.5,44.1,6.5,171.5,262.5,289.8,895.9,Loam,Spring
20.2,752.9,44.0,6.5,168.3,245.8,321.1,923.3,Sandy Loam,Summer
22.6,664.3,45.0,6.6,165.2,287.7,289.4,935.8,Sandy Loam,Fall
21.4,806.4,45.1,6.4,129.8,258.6,290.8,945.5,Loam,Summer
22.9,689.4,45.8,6.7,153.5,289.2,258.5,914.5,Loam,Fall
22.8,657.9,48.0,6.7,192.6,202.2,324.6,943.2,Loam,Summer
21.5,886.1,69.3,6.5,356.5,143.6,521.4,594.2,Loam,Summer
24.7,871.0,75.9,6.4,337.5,147.9,518.1,648.1,Loam,Spring
25.3,938.2,72.0,6.3,353.9,146.0,529.7,395.2,Loam,Summer
27.1,887.9,74.3,6.4,359.1,143.7,499.9,510.7,Loam,Fall
27.4,904.8,78.9,6.1,373.2,144.0,486.1,475.8,Loam,Fall
24.8,799.2,73.9,6.3,354.6,145.3,495.8,616.2,Loam,Spring
19.6,932.3,72.8,6.4,355.8,142.1,506.4,516.1,Loam,Summer
20.1,829.0,72.8,6.1,335.1,142.1,512.1,416.4,Loam,Summer
24.9,725.7,76.5,6.8,352.1,147.6,550.7,450.7,Loam,Summer
25.6,1070.5,78.6,6.2,342.8,147.1,547.3,522.9,Loam,Fall
22.1,997.8,76.2,6.4,355.2,145.3,515.6,630.4,Loam,Spring
27.8,924.1,78.1,6.3,333.8,146.7,486.5,572.3,Loam,Spring
21.2,832.6,78.8,6.2,366.2,146.7,526.9,623.6,Loam,Fall
21.3,928.2,73.5,6.2,349.1,142.8,522.8,561.8,Loam,Spring
21.7,892.8,79.8,5.9,357.7,142.5,548.9,461.6,Loam,Summer
21.5,872.5,83.8,6.5,340.5,145.2,539.8,463.2,Loam,Spring
21.0,1020.1,73.3,6.2,329.4,143.7,508.1,485.3,Loam,Summer
25.4,901.1,72.2,6.1,342.1,147.0,544.0,524.0,Loam,Fall
22.8,885.4,74.9,5.9,356.7,148.6,526.5,523.6,Loam,Fall
21.0,1014.5,75.6,6.2,323.6,143.2,506.7,558.1,Loam,Spring
